Gene Name	UniProt ID	Peptide Name	ENZYME ID
Cre08.g382476	A0A2K3DI55	Cre08.g382476.t1.1	
Cre08.g371533	A0A2K3DHA9	Cre08.g371533.t1.1	
Cre08.g366650	A0A2K3DGX8	Cre08.g366650.t1.1	
Cre08.g377800	A0A2K3DHT7	Cre08.g377800.t1.1	
Cre08.g370116	A0A2K3DH58	Cre08.g370116.t1.1	
Cre08.g375676	A0A2K3DHP7	Cre08.g375676.t1.1	
Cre08.g374100	A0A2K3DHL6	Cre08.g374100.t1.1	
Cre08.g374100	A0A2K3DHK6	Cre08.g374100.t2.1	
Cre08.g371500	A0A2K3DHA3	Cre08.g371500.t1.1	
Cre08.g383702	A0A2K3DI78	Cre08.g383702.t1.1	6.3.2.19
Cre08.g365851	A0A2K3DGX4	Cre08.g365851.t1.1	1.13.11.70
Cre08.g365851	A0A2K3DGX4	Cre08.g365851.t1.1	1.13.11.69
Cre08.g383250	A0A2K3DI70	Cre08.g383250.t1.2	
Cre08.g369300	A0A2K3DH53	Cre08.g369300.t1.2	1.14.11.2
Cre08.g379400	A0A2K3DHX7	Cre08.g379400.t1.1	
Cre08.g380452	A0A2K3DI02	Cre08.g380452.t1.1	2.7.11.22
Cre08.g380452	A0A2K3DI02	Cre08.g380452.t1.1	2.7.11.23
Cre08.g360250	A8JGG7	Cre08.g360250.t1.2	
Cre08.g366450	A0A2K3DGX2	Cre08.g366450.t1.2	
Cre08.g362900	A0A2K3DGM6	Cre08.g362900.t1.1	
Cre08.g366950	A0A2K3DH10	Cre08.g366950.t1.2	
Cre08.g373358	A0A2K3DHG1	Cre08.g373358.t1.1	
Cre08.g358540	A0A2K3DG80	Cre08.g358540.t1.1	
Cre08.g373361	A0A2K3DHF0	Cre08.g373361.t1.1	
Cre08.g365300	A0A2K3DGT4	Cre08.g365300.t1.2	
Cre08.g363600	A0A2K3DGP7	Cre08.g363600.t1.2	
Cre08.g375800	A0A2K3DHP1	Cre08.g375800.t1.1	
Cre08.g369451	A0A2K3DH34	Cre08.g369451.t1.1	2.7.7.49
Cre08.g385850	A0A2K3DIE2	Cre08.g385850.t1.2	2.7.11.22
Cre08.g385850	A0A2K3DIE2	Cre08.g385850.t1.2	2.7.11.23
Cre08.g375650	A0A2K3DHN8	Cre08.g375650.t1.1	
Cre08.g382530	A0A2K3DI50	Cre08.g382530.t1.1	
Cre08.g368450	A0A2K3DH22	Cre08.g368450.t1.2	2.4.99.18
Cre08.g368450	A0A2K3DH22	Cre08.g368450.t2.1	2.4.99.18
Cre08.g374750	A0A2K3DHK9	Cre08.g374750.t1.1	2.7.11.1
Cre08.g360200	A0A2K3DGH3	Cre08.g360200.t1.2	
Cre08.g360950	A0A2K3DGG7	Cre08.g360950.t1.1	
Cre08.g381250	A0A2K3DI21	Cre08.g381250.t1.2	
Cre08.g373450	A0A2K3DHJ2	Cre08.g373450.t1.1	3.2.1.141
Cre08.g373347	A0A2K3DHD2	Cre08.g373347.t1.1	
Cre08.g364800	A8J3Y6	Cre08.g364800.t1.2	6.3.5.3
Cre08.g364351	A0A2K3DGQ9	Cre08.g364351.t1.1	2.4.1.68
Cre08.g374436		Cre08.g374436.t1.2	
Cre08.g364650	A0A2K3DGR2	Cre08.g364650.t1.1	6.1.1.10
Cre08.g379950	A0A2K3DHZ3	Cre08.g379950.t1.1	1.14.11.2
Cre08.g385750	A0A2K3DIC7	Cre08.g385750.t1.2	2.7.1.12
Cre08.g359500	A0A2K3DGD8	Cre08.g359500.t1.1	6.3.2.4
Cre08.g381483	A0A2K3DI23	Cre08.g381483.t1.1	
Cre08.g361700	A0A2K3DGI1	Cre08.g361700.t1.2	
Cre08.g377150	A0A2K3DHT0	Cre08.g377150.t1.2	2.8.3.22
Cre08.g360564	A0A2K3DGI4	Cre08.g360564.t1.2	
Cre08.g358556	A8JIE5	Cre08.g358556.t1.1	
Cre08.g358556	A8JIE5	Cre08.g358556.t2.1	
Cre08.g382825	A0A2K3DI60	Cre08.g382825.t1.1	2.7.7.49
Cre08.g382825	A0A2K3DI60	Cre08.g382825.t1.1	2.7.7.7
Cre08.g382825	A0A2K3DI60	Cre08.g382825.t1.1	3.1.26.4
Cre08.g385900	A0A2K3DIE1	Cre08.g385900.t1.2	
Cre08.g378450	A0A2K3DHW1	Cre08.g378450.t1.1	
Cre08.g376200	A0A2K3DHQ0	Cre08.g376200.t1.2	
Cre08.g358544	A0A2K3DG84	Cre08.g358544.t1.1	
Cre08.g378250	A0A2K3DHU7	Cre08.g378250.t1.2	2.1.1.85
Cre08.g378250	A0A2K3DHV1	Cre08.g378250.t2.1	2.1.1.85
Cre08.g368700	A0A2K3DH51	Cre08.g368700.t1.1	2.1.1.259
Cre08.g371350	A8JET4	Cre08.g371350.t1.2	
Cre08.g379650	A8IZ79	Cre08.g379650.t1.2	
Cre08.g368950	A8J463	Cre08.g368950.t1.2	4.2.3.4
Cre08.g381450	A0A2K3DI34	Cre08.g381450.t1.2	
Cre08.g381450	A0A2K3DI25	Cre08.g381450.t2.1	
Cre08.g358563	A0A2K3DG81	Cre08.g358563.t1.1	3.6.4.13
Cre08.g359100	A0A2K3DGE4	Cre08.g359100.t1.2	2.1.1.214
Cre08.g363267	A0A2K3DGM0	Cre08.g363267.t1.1	
Cre08.g383800	A0A2K3DI92	Cre08.g383800.t1.1	
Cre08.g374150	A0A2K3DHJ7	Cre08.g374150.t1.1	
Cre08.g373350	A0A2K3DHI2	Cre08.g373350.t1.2	2.7.7.49
Cre08.g359550	A0A2K3DGF3	Cre08.g359550.t1.1	
Cre08.g382605	A0A2K3DI61	Cre08.g382605.t1.1	
Cre08.g379800	A0A2K3DHY6	Cre08.g379800.t1.2	
Cre08.g368176	A0A2K3DH04	Cre08.g368176.t1.1	
Cre08.g368400	A0A2K3DH08	Cre08.g368400.t1.2	1.8.1.9
Cre08.g383300	A0A2K3DI83	Cre08.g383300.t1.2	
Cre08.g371450	A0A2K3DH79	Cre08.g371450.t1.2	
Cre08.g371450	A8JET7	Cre08.g371450.t2.1	
Cre08.g364450	A8J3X9	Cre08.g364450.t1.2	2.3.1.88
Cre08.g377650	A0A2K3DHU0	Cre08.g377650.t1.2	
Cre08.g376700	A0A2K3DHR0	Cre08.g376700.t1.2	2.1.1.56
Cre08.g371150	A0A2K3DHA6	Cre08.g371150.t1.2	
Cre08.g371400	A0A2K3DH84	Cre08.g371400.t1.1	
Cre08.g366750	A0A2K3DGY7	Cre08.g366750.t1.1	
Cre08.g366150	A0A2K3DGW4	Cre08.g366150.t1.1	
Cre08.g384800	A8IYZ9	Cre08.g384800.t1.2	3.1.1.81
Cre08.g364700	A0A2K3DGR7	Cre08.g364700.t1.2	
Cre08.g364700	A0A2K3DGT6	Cre08.g364700.t2.1	
Cre08.g370200	A0A2K3DH89	Cre08.g370200.t1.2	2.1.1.43
Cre08.g370200	A0A2K3DH89	Cre08.g370200.t2.1	2.1.1.43
Cre08.g358541	A0A2K3DG58	Cre08.g358541.t1.1	
Cre08.g364400	A0A2K3DGR4	Cre08.g364400.t1.1	
Cre08.g367550	A0A2K3DGZ5	Cre08.g367550.t1.2	
Cre08.g358700	A0A2K3DGD4	Cre08.g358700.t1.2	
Cre08.g358565	A0A2K3DGA5	Cre08.g358565.t1.1	
Cre08.g385550	A0A2K3DID0	Cre08.g385550.t1.1	
Cre08.g373000	A0A2K3DHC4	Cre08.g373000.t1.2	
Cre08.g373650	A0A2K3DHJ9	Cre08.g373650.t1.1	
Cre08.g371566	A0A2K3DHC1	Cre08.g371566.t1.1	
Cre08.g379200	A8IZ88	Cre08.g379200.t1.1	
Cre08.g362350	A0A2K3DGM2	Cre08.g362350.t1.1	
Cre08.g384100	A0A2K3DI90	Cre08.g384100.t1.1	
Cre08.g383200	A0A2K3DI69	Cre08.g383200.t1.2	
Cre08.g358350	A0A2K3DG62	Cre08.g358350.t1.1	
Cre08.g376150	A0A2K3DHQ2	Cre08.g376150.t1.1	
Cre08.g376150	A0A2K3DHQ6	Cre08.g376150.t2.1	
Cre08.g369800	A8J484	Cre08.g369800.t1.2	2.5.1.46
Cre08.g383850	A0A2K3DI96	Cre08.g383850.t1.1	
Cre08.g383850	A0A2K3DI88	Cre08.g383850.t2.1	
Cre08.g372150	A0A2K3DHC6	Cre08.g372150.t1.2	
Cre08.g377500	A0A2K3DHT4	Cre08.g377500.t1.2	
Cre08.g381750	A0A2K3DI33	Cre08.g381750.t1.1	
Cre08.g379100	A0A2K3DHX0	Cre08.g379100.t1.1	
Cre08.g379100	A0A2K3DHX2	Cre08.g379100.t2.1	
Cre08.g367900	A0A2K3DH29	Cre08.g367900.t1.2	
Cre08.g367900	A0A2K3DH27	Cre08.g367900.t2.1	
Cre08.g376550		Cre08.g376550.t1.2	
Cre08.g385500	A0A2K3DID5	Cre08.g385500.t1.2	3.2.1.1
Cre08.g385500	A0A2K3DID5	Cre08.g385500.t2.1	3.2.1.1
Cre08.g369200	A0A2K3DH52	Cre08.g369200.t1.1	2.7.11.1
Cre08.g359400	A0A2K3DGF1	Cre08.g359400.t1.2	
Cre08.g368500	A8J450	Cre08.g368500.t1.2	
Cre08.g362682	A0A2K3DGM8	Cre08.g362682.t1.2	
Cre08.g375900	A0A2K3DHP9	Cre08.g375900.t1.1	
Cre08.g385450	A8IYY6	Cre08.g385450.t1.2	3.6.1.58
Cre08.g377200	A0A2K3DHS8	Cre08.g377200.t1.1	3.6.4.12
Cre08.g373376	A0A2K3DHH9	Cre08.g373376.t1.1	
Cre08.g380950	A8IZ57	Cre08.g380950.t1.2	
Cre08.g374600	A0A2K3DHK5	Cre08.g374600.t1.1	
Cre08.g358545		Cre08.g358545.t1.1	
Cre08.g368900	A0A2K3DH31	Cre08.g368900.t1.2	6.1.1.7
Cre08.g368900	A0A2K3DH17	Cre08.g368900.t2.1	6.1.1.7
Cre08.g373370		Cre08.g373370.t1.1	
Cre08.g373354	A0A2K3DHF7	Cre08.g373354.t1.1	3.6.4.13
Cre08.g365825	A0A2K3DGV8	Cre08.g365825.t1.1	
Cre08.g365825	A0A2K3DGV8	Cre08.g365825.t2.1	
Cre08.g373344	A0A2K3DHF1	Cre08.g373344.t1.1	
Cre08.g369400	A8J474	Cre08.g369400.t1.2	
Cre08.g380500	A0A2K3DHZ7	Cre08.g380500.t1.2	
Cre08.g381650	A0A2K3DI35	Cre08.g381650.t1.1	
Cre08.g377300	A0A2K3DHT1	Cre08.g377300.t1.1	2.3.1.20
Cre08.g376050	A0A2K3DHP5	Cre08.g376050.t1.1	
Cre08.g379600	A0A2K3DHY8	Cre08.g379600.t1.1	2.7.12.1
Cre08.g361900	A0A2K3DGL5	Cre08.g361900.t1.2	
Cre08.g366874	A0A2K3DGX7	Cre08.g366874.t1.2	
Cre08.g378550	A0A2K3DHW2	Cre08.g378550.t1.2	
Cre08.g367150	A0A2K3DGZ4	Cre08.g367150.t1.1	
Cre08.g367150	A8J425	Cre08.g367150.t2.1	
Cre08.g373369	A0A2K3DHH6	Cre08.g373369.t1.1	
Cre08.g366400	A0A2K3DGX6	Cre08.g366400.t1.2	
Cre08.g366400	A0A2K3DGW0	Cre08.g366400.t2.1	
Cre08.g358575	A0A2K3DGB6	Cre08.g358575.t1.1	2.7.11.1
Cre08.g385050	A0A2K3DIC1	Cre08.g385050.t1.1	2.7.11.24
Cre08.g361950	A0A2K3DGJ3	Cre08.g361950.t1.1	
Cre08.g361950	A0A2K3DGL1	Cre08.g361950.t2.1	
Cre08.g358561	A0A2K3DGA2	Cre08.g358561.t1.1	
Cre08.g365664	A0A2K3DGV3	Cre08.g365664.t1.2	
Cre08.g381200	A0A2K3DI17	Cre08.g381200.t1.1	
Cre08.g372500	A0A2K3DHB5	Cre08.g372500.t1.2	
Cre08.g375500	A0A2K3DHP2	Cre08.g375500.t1.2	2.6.1.16
Cre08.g382800	A0A2K3DI58	Cre08.g382800.t1.2	2.7.11.1
Cre08.g368750	A0A2K3DH30	Cre08.g368750.t1.1	
Cre08.g373349	A0A2K3DHF6	Cre08.g373349.t1.1	
Cre08.g373349	A0A2K3DHF6	Cre08.g373349.t2.1	
Cre08.g373349	A0A2K3DHH3	Cre08.g373349.t3.1	
Cre08.g381400	A0A2K3DI14	Cre08.g381400.t1.2	
Cre08.g358527	A0A2K3DG56	Cre08.g358527.t1.1	
Cre08.g358554	A0A2K3DG70	Cre08.g358554.t1.1	3.1.3.16
Cre08.g358554	A0A2K3DG70	Cre08.g358554.t1.1	3.1.3.48
Cre08.g361750	A0A2K3DGI7	Cre08.g361750.t1.1	
Cre08.g361400	A0A2K3DGK7	Cre08.g361400.t1.2	
Cre08.g385300	A8IYY9	Cre08.g385300.t1.2	2.1.1.43
Cre08.g364775	A0A2K3DGT3	Cre08.g364775.t1.2	
Cre08.g358553	A0A2K3DG69	Cre08.g358553.t1.1	
Cre08.g373100	A0A2K3DHB8	Cre08.g373100.t1.1	1.14.99.45
Cre08.g371801	A0A2K3DH88	Cre08.g371801.t1.2	
Cre08.g374300	A0A2K3DHK2	Cre08.g374300.t1.1	
Cre08.g374200	A0A2K3DHJ5	Cre08.g374200.t1.1	2.7.11.22
Cre08.g360600	A0A2K3DGI6	Cre08.g360600.t1.1	
Cre08.g360750	A0A2K3DGG3	Cre08.g360750.t1.1	
Cre08.g370850	A0A2K3DH96	Cre08.g370850.t1.1	6.3.2.19
Cre08.g358547	A0A2K3DG96	Cre08.g358547.t1.1	
Cre08.g378200	A0A2K3DHV3	Cre08.g378200.t1.2	1.4.3.5
Cre08.g378200	A0A2K3DHV3	Cre08.g378200.t1.2	5.1.99.6
Cre08.g381000	A0A2K3DI18	Cre08.g381000.t1.2	2.7.11.1
Cre08.g369250	A0A2K3DH26	Cre08.g369250.t1.2	
Cre08.g383550	A0A2K3DI85	Cre08.g383550.t1.2	2.1.1.43
Cre08.g365720	A0A2K3DGU6	Cre08.g365720.t1.1	
Cre08.g362300	A0A2K3DGK6	Cre08.g362300.t1.1	
Cre08.g362800	A0A2K3DGK8	Cre08.g362800.t1.2	
Cre08.g376250	A0A2K3DHQ5	Cre08.g376250.t1.1	
Cre08.g371600	A0A2K3DH86	Cre08.g371600.t1.2	
Cre08.g369000	A0A2K3DH36	Cre08.g369000.t1.1	
Cre08.g358555	A0A2K3DG98	Cre08.g358555.t1.1	3.5.1.98
Cre08.g382515	A0A2K3DI48	Cre08.g382515.t1.1	
Cre08.g372400	A0A2K3DHD3	Cre08.g372400.t1.2	6.3.2.19
Cre08.g377700	A8IZB2	Cre08.g377700.t1.1	
Cre08.g361650	A0A2K3DGJ8	Cre08.g361650.t1.1	
Cre08.g373764	A0A2K3DHI3	Cre08.g373764.t1.1	
Cre08.g379750	A0A2K3DHZ6	Cre08.g379750.t1.2	
Cre08.g385200	A8IYZ2	Cre08.g385200.t1.1	
Cre08.g362150	A0A2K3DGL2	Cre08.g362150.t1.1	
Cre08.g383900	A0A2K3DI89	Cre08.g383900.t1.1	
Cre08.g373375	A0A2K3DHG2	Cre08.g373375.t1.1	
Cre08.g374550	A0A2K3DHM2	Cre08.g374550.t1.2	
Cre08.g382750	A0A2K3DI76	Cre08.g382750.t1.1	
Cre08.g376720	A0A2K3DHR1	Cre08.g376720.t1.1	3.4.22.33
Cre08.g376720	A0A2K3DHR3	Cre08.g376720.t2.1	3.4.22.67
Cre08.g378650	A0A2K3DHW0	Cre08.g378650.t1.2	
Cre08.g358200	A0A2K3DG59	Cre08.g358200.t1.1	2.7.11.1
Cre08.g358200	A0A2K3DG38	Cre08.g358200.t2.1	2.7.11.1
Cre08.g358570	A0A2K3DG93	Cre08.g358570.t1.1	
Cre08.g369500	A0A2K3DH50	Cre08.g369500.t1.2	
Cre08.g370450	A8JES1	Cre08.g370450.t1.2	
Cre08.g358529	A0A2K3DG71	Cre08.g358529.t1.1	
Cre08.g384750	A0A2K3DIB0	Cre08.g384750.t1.1	3.2.1.1
Cre08.g382545	A8JJB2	Cre08.g382545.t1.1	2.8.1.12
Cre08.g382545	A0A2K3DI56	Cre08.g382545.t1.1	2.8.1.12
Cre08.g367950	A0A2K3DH11	Cre08.g367950.t1.1	
Cre08.g358569	A0A2K3DG94	Cre08.g358569.t1.1	
Cre08.g373428	A0A2K3DHH4	Cre08.g373428.t1.1	2.7.7.49
Cre08.g366300	A0A2K3DGW7	Cre08.g366300.t1.1	
Cre08.g362650	A0A2K3DGM1	Cre08.g362650.t1.1	
Cre08.g382575	A0A2K3DI65	Cre08.g382575.t1.1	
Cre08.g358535	A8JID0	Cre08.g358535.t1.1	
Cre08.g373583	A0A2K3DHI0	Cre08.g373583.t1.1	
Cre08.g373583	A0A2K3DHK4	Cre08.g373583.t2.1	
Cre08.g372650	A0A2K3DHD4	Cre08.g372650.t1.2	
Cre08.g367350	A0A2K3DGZ7	Cre08.g367350.t1.2	2.1.1.43
Cre08.g365103	A0A2K3DGT5	Cre08.g365103.t1.1	
Cre08.g358522	A8JID7	Cre08.g358522.t1.1	
Cre08.g373407	A0A2K3DHG8	Cre08.g373407.t1.1	
Cre08.g379576	A0A2K3DHX8	Cre08.g379576.t1.1	
Cre08.g359450	A0A2K3DGF5	Cre08.g359450.t1.2	
Cre08.g374900	A0A2K3DHL1	Cre08.g374900.t1.2	
Cre08.g373362	A0A2K3DHG6	Cre08.g373362.t1.1	
Cre08.g380350	A0A2K3DHZ9	Cre08.g380350.t1.2	
Cre08.g378351	A0A2K3DHU6	Cre08.g378351.t1.1	
Cre08.g367800	A0A2K3DGZ0	Cre08.g367800.t1.2	3.6.1.22
Cre08.g367800	A0A2K3DGZ0	Cre08.g367800.t1.2	3.6.1.13
Cre08.g375550	A0A2K3DHN7	Cre08.g375550.t1.2	
Cre08.g363800	A0A2K3DGR6	Cre08.g363800.t1.1	
Cre08.g373300	A0A2K3DHD7	Cre08.g373300.t1.1	2.7.11.25
Cre08.g368800	A0A2K3DH42	Cre08.g368800.t1.2	
Cre08.g368800	A0A2K3DH42	Cre08.g368800.t2.1	
Cre08.g365027	A0A2K3DGU1	Cre08.g365027.t1.1	
Cre08.g361984	A0A2K3DGJ5	Cre08.g361984.t1.2	
Cre08.g378000	A0A2K3DHU8	Cre08.g378000.t1.2	
Cre08.g368350	A0A2K3DH40	Cre08.g368350.t1.1	
Cre08.g362450	A0A2K3DGK5	Cre08.g362450.t1.2	3.2.1.1
Cre08.g385675	A0A2K3DIE4	Cre08.g385675.t1.1	
Cre08.g359567	A0A2K3DGD2	Cre08.g359567.t1.2	
Cre08.g359567	A0A2K3DGD5	Cre08.g359567.t2.1	
Cre08.g373373	A0A2K3DHF9	Cre08.g373373.t1.1	
Cre08.g363650	A0A2K3DGN1	Cre08.g363650.t1.1	
Cre08.g358650	A0A2K3DGB9	Cre08.g358650.t1.1	
Cre08.g369950	A0A2K3DH72	Cre08.g369950.t1.1	
Cre08.g381983	A0A2K3DI43	Cre08.g381983.t1.1	
Cre08.g381983	A0A2K3DI29	Cre08.g381983.t2.1	
Cre08.g384200	A0A2K3DIA5	Cre08.g384200.t1.2	
Cre08.g382250	A0A2K3DI44	Cre08.g382250.t1.2	
Cre08.g374250	A0A2K3DHK8	Cre08.g374250.t1.1	2.7.11.1
Cre08.g383350	A0A2K3DI84	Cre08.g383350.t1.1	
Cre08.g358542	A0A2K3DG60	Cre08.g358542.t1.1	
Cre08.g378500	A0A2K3DHW4	Cre08.g378500.t1.1	
Cre08.g377251	A0A2K3DHS9	Cre08.g377251.t1.1	
Cre08.g370500	A0A2K3DH69	Cre08.g370500.t1.1	
Cre08.g359850	A0A2K3DGE8	Cre08.g359850.t1.1	
Cre08.g368150	A0A2K3DGZ8	Cre08.g368150.t1.1	2.7.11.21
Cre08.g361300	A0A2K3DGJ2	Cre08.g361300.t1.1	
Cre08.g365692	A0A2K3DGU2	Cre08.g365692.t1.1	1.8.7.1
Cre08.g358500	A8JGD8	Cre08.g358500.t1.2	
Cre08.g368300	A0A2K3DH19	Cre08.g368300.t1.1	3.6.4.13
Cre08.g385800	A0A2K3DIE6	Cre08.g385800.t1.1	
Cre08.g367050	A0A2K3DGY8	Cre08.g367050.t1.1	
Cre08.g358568	A0A2K3DGB8	Cre08.g358568.t1.1	
Cre08.g359600	A0A2K3DGF2	Cre08.g359600.t1.2	
Cre08.g382716	A0A2K3DI63	Cre08.g382716.t1.1	
Cre08.g382716	A0A2K3DI63	Cre08.g382716.t2.1	
Cre08.g370300	A8JER6	Cre08.g370300.t1.2	
Cre08.g383950	A0A2K3DI93	Cre08.g383950.t1.1	
Cre08.g358450	A0A2K3DG61	Cre08.g358450.t1.2	
Cre08.g358250	Q9AXF7	Cre08.g358250.t1.2	
Cre08.g386050	A8IYX5	Cre08.g386050.t1.2	
Cre08.g373346	A0A2K3DHE7	Cre08.g373346.t1.1	
Cre08.g360300	A8JGG8	Cre08.g360300.t1.2	1.1.1.330
Cre08.g372050	A0A2K3DHC3	Cre08.g372050.t1.2	
Cre08.g372350	A8JEU9	Cre08.g372350.t1.1	
Cre08.g385350	A8IYY8	Cre08.g385350.t1.1	
Cre08.g358528	A0A2K3DG57	Cre08.g358528.t1.1	
Cre08.g373341	A0A2K3DHF2	Cre08.g373341.t1.1	
Cre08.g384650	A0A2K3DIB6	Cre08.g384650.t1.2	
Cre08.g378700	A0A2K3DHV8	Cre08.g378700.t1.2	
Cre08.g361250	A0A2K3DGH7	Cre08.g361250.t1.1	2.4.1.255
Cre08.g373374	A0A2K3DHG3	Cre08.g373374.t1.1	
Cre08.g373374	A0A2K3DHI5	Cre08.g373374.t2.1	
Cre08.g362950	A0A2K3DGP4	Cre08.g362950.t1.1	
Cre08.g376000	A8IZE0	Cre08.g376000.t1.1	
Cre08.g366676	A0A2K3DGZ3	Cre08.g366676.t1.1	
Cre08.g384950	A0A2K3DIA8	Cre08.g384950.t1.2	
Cre08.g363300	A0A2K3DGN8	Cre08.g363300.t1.2	2.4.2.1
Cre08.g363300	A0A2K3DGN8	Cre08.g363300.t1.2	2.4.2.28
Cre08.g366101	A0A2K3DGV6	Cre08.g366101.t1.1	
Cre08.g373400	A0A2K3DHJ8	Cre08.g373400.t1.2	
Cre08.g365900	P93664	Cre08.g365900.t1.2	
Cre08.g380700	A0A2K3DHZ8	Cre08.g380700.t1.2	
Cre08.g362250	A0A2K3DGK3	Cre08.g362250.t1.1	
Cre08.g362776	A0A2K3DGN0	Cre08.g362776.t1.1	
Cre08.g373840	A0A2K3DHJ3	Cre08.g373840.t1.1	
Cre08.g363700	A0A2K3DGN7	Cre08.g363700.t1.1	
Cre08.g382400	A0A2K3DI37	Cre08.g382400.t1.1	
Cre08.g384700	A0A2K3DIA7	Cre08.g384700.t1.1	
Cre08.g381850	A0A2K3DI32	Cre08.g381850.t1.2	
Cre08.g365150	A0A2K3DGU5	Cre08.g365150.t2.1	
Cre08.g365150	A0A2K3DGU5	Cre08.g365150.t1.2	
Cre08.g373726	A0A2K3DHI6	Cre08.g373726.t1.1	
Cre08.g379550	A0A2K3DHY0	Cre08.g379550.t1.1	3.6.3.27
Cre08.g379550	A0A2K3DHY3	Cre08.g379550.t2.1	3.6.3.27
Cre08.g360350	A0A2K3DGF0	Cre08.g360350.t2.1	3.5.3.6
Cre08.g360350	A0A2K3DGF0	Cre08.g360350.t1.1	3.5.3.6
Cre08.g365200	A0A2K3DGS3	Cre08.g365200.t1.2	
Cre08.g361350	A0A2K3DGK4	Cre08.g361350.t1.2	
Cre08.g368850	A8J460	Cre08.g368850.t1.2	
Cre08.g370350	A0A2K3DH87	Cre08.g370350.t1.2	
Cre08.g361000	A0A2K3DGI0	Cre08.g361000.t1.1	
Cre08.g361000	A0A2K3DGJ4	Cre08.g361000.t2.1	
Cre08.g363837	A0A2K3DGR3	Cre08.g363837.t1.1	2.7.7.7
Cre08.g370401	A0A2K3DH68	Cre08.g370401.t1.1	
Cre08.g360500	A0A2K3DGF7	Cre08.g360500.t1.1	
Cre08.g364501	A0A2K3DGR1	Cre08.g364501.t1.1	
Cre08.g373802	A0A2K3DHK1	Cre08.g373802.t1.1	
Cre08.g367400		Cre08.g367400.t1.1	
Cre08.g358600	A0A2K3DGD7	Cre08.g358600.t1.1	
Cre08.g386000	A0A2K3DIE5	Cre08.g386000.t1.1	
Cre08.g386000	A0A2K3DIE3	Cre08.g386000.t2.1	
Cre08.g379900	A0A2K3DHZ5	Cre08.g379900.t1.1	3.6.3.2
Cre08.g376740	A0A2K3DHR6	Cre08.g376740.t1.1	
Cre08.g376740	A0A2K3DHR5	Cre08.g376740.t2.1	
Cre08.g382560	A0A2K3DI53	Cre08.g382560.t1.1	2.4.2.41
Cre08.g373359	A0A2K3DHG7	Cre08.g373359.t1.1	
Cre08.g384150	A0A2K3DI87	Cre08.g384150.t1.1	
Cre08.g362000	A0A2K3DGL0	Cre08.g362000.t1.2	
Cre08.g377950	A0A2K3DHU3	Cre08.g377950.t1.2	
Cre08.g383500	A0A2K3DI77	Cre08.g383500.t1.1	
Cre08.g380400	A0A2K3DI01	Cre08.g380400.t1.2	
